                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.0965,                0.79147,                 1.3695,                 1.1338,                0.84829,                 1.3544,                 0.8241,                0.86955,                0.89962,                0.64052,                 1.0246,                0.70975,                 1.3172,                  1.042,                0.69129,                 1.2229,             0.00089141,             0.00089141,             0.00089141
                     79,                 1.1037,                0.80926,                 1.3839,                 1.1378,                0.86789,                 1.3684,                0.84368,                0.85035,                0.90407,                0.65086,                 1.0224,                0.71537,                 1.3068,                 1.0364,                0.67809,                 1.2132,             0.00088434,             0.00088434,             0.00088434
                     80,                 1.1072,                0.81695,                 1.3946,                 1.1415,                0.87619,                 1.3741,                0.84311,                 0.8727,                0.90492,                0.65126,                 1.0111,                0.71637,                 1.3097,                 1.0381,                 0.6876,                 1.2163,             0.00087726,             0.00087726,             0.00087726
                     81,                 1.0959,                0.79213,                 1.3682,                 1.1322,                0.85486,                 1.3541,                0.81662,                0.86946,                 0.9011,                0.64084,                 1.0256,                 0.7188,                 1.3049,                 1.0344,                 0.6964,                 1.2148,             0.00087019,             0.00087019,             0.00087019
                     82,                 1.1085,                0.79887,                 1.3863,                  1.151,                0.85123,                 1.3736,                0.82579,                0.85433,                0.89777,                0.64288,                 1.0594,                  0.721,                 1.3014,                 1.0775,                0.67859,                 1.2143,             0.00086312,             0.00086312,             0.00086312
                     83,                 1.1187,                0.80521,                 1.3921,                 1.1628,                0.85237,                 1.3805,                0.84694,                0.83886,                 0.9062,                0.64191,                 1.0414,                 0.7241,                 1.3127,                 1.0674,                0.69803,                 1.2227,             0.00085604,             0.00085604,             0.00085604
                     84,                 1.0825,                 0.7855,                 1.3707,                 1.1211,                0.85054,                 1.3571,                0.86131,                 0.8731,                0.90949,                0.65783,                 1.0351,                0.68861,                 1.3099,                 1.0548,                  0.645,                 1.2138,             0.00084897,             0.00084897,             0.00084897
                     85,                 1.0957,                0.78489,                 1.3825,                 1.1358,                0.85003,                  1.365,                0.86906,                0.82867,                0.90801,                0.65914,                 1.0363,                0.70334,                  1.271,                 1.0683,                0.65644,                 1.2059,              0.0008419,              0.0008419,              0.0008419
                     86,                 1.0736,                0.77624,                 1.3563,                 1.1158,                0.82944,                 1.3461,                0.87164,                0.82152,                0.90828,                0.66139,                 1.0191,                0.71332,                 1.3065,                 1.0398,                0.68405,                 1.2098,             0.00083482,             0.00083482,             0.00083482
                     87,                 1.1009,                0.78375,                 1.3793,                 1.1342,                0.83336,                  1.361,                0.81608,                0.84736,                0.90075,                0.63925,                 1.0496,                0.77095,                 1.3018,                  1.092,                0.73353,                 1.2323,             0.00082775,             0.00082775,             0.00082775
                     88,                 1.1043,                0.80786,                 1.3898,                 1.1439,                0.86216,                  1.375,                0.80856,                0.86592,                0.90116,                0.65304,                 1.0252,                0.72386,                 1.2978,                 1.0512,                0.68373,                  1.212,             0.00082067,             0.00082067,             0.00082067
                     89,                 1.0797,                0.78606,                 1.3652,                 1.1223,                0.83923,                 1.3568,                0.77062,                0.82147,                0.87843,                0.59574,                 1.0647,                0.77161,                 1.3537,                 1.0767,                0.73761,                 1.2353,              0.0008136,              0.0008136,              0.0008136
                     90,                  1.097,                0.78459,                 1.3715,                 1.1377,                0.84002,                 1.3615,                0.84897,                0.86119,                0.91987,                0.66561,                 1.0051,                0.67579,                   1.28,                 1.0176,                0.63834,                 1.1986,             0.00080653,             0.00080653,             0.00080653
                     91,                 1.0947,                0.78516,                 1.3702,                 1.1376,                0.83306,                 1.3637,                0.88411,                 0.8286,                 0.9154,                0.64443,                 1.0549,                0.69888,                 1.2858,                 1.0842,                0.65518,                 1.2143,             0.00079945,             0.00079945,             0.00079945
                     92,                 1.0717,                0.76066,                   1.35,                 1.1204,                0.81074,                 1.3412,                0.88182,                 0.8394,                 0.9196,                 0.6572,                 1.0258,                0.67535,                 1.2754,                 1.0361,                0.62116,                 1.1986,             0.00079238,             0.00079238,             0.00079238
                     93,                 1.0676,                0.76995,                 1.3459,                 1.1084,                0.82137,                 1.3399,                0.84178,                0.82536,                0.90658,                0.65063,                 1.0052,                0.70881,                 1.2918,                 1.0261,                0.68293,                 1.2051,             0.00078531,             0.00078531,             0.00078531
                     94,                 1.0764,                0.76876,                 1.3718,                 1.1172,                0.81465,                 1.3646,                0.85844,                 0.8617,                0.91048,                 0.6452,                 1.0208,                0.70042,                 1.3197,                 1.0351,                0.67438,                 1.2247,             0.00077823,             0.00077823,             0.00077823
